Key,polish

campfireActivate,"Otwórz ognisko"
caffeineBuzz,"Strzał z kofeiny"
caffeineBuzzDesc,"Kofeina daje Ci energię, utrzymuje twoją wytrzymałość wyżej oraz pozawala zachować Ci ciepło."
inpActActionLockStack,"Zablokuj"
inpActInventorySlot9Name,"Slot 9"
inpActInventorySlot10Name,"Slot 10"
inpActInventorySlot11Name,"Slot 11"
inpActInventorySlot12Name,"Slot 12"
inpActVehicleToggleTopLightName,"Przełącz światła górne"
inpActVehicleToggleSirenName,"Przełącz syrene"
inpActLockSelectedSlotName,"Zablokuj slot ekwipunku"
inpActGuiKeyboardSpaceName,"Klawisz akcji 5"
inpActDebugScreenshotName,"Debug Screenshot"
infectionDesc,"Jesteś zainfekowany. Użyj antybiotyków, miodu albo ziołowych antybiotyków aby wyleczyć infekcje. Nieleczony staniesz się słabszy i ostatecznie umrzesz."
lblContextActionCraft,"Wytwórz"
lblContextActionDrink,"Użyj"
lblContextActionDrop,"Wyrzuć"
lblContextActionEat,"Zjedz"
lblContextActionForge,"Piec"
lblContextActionPin,"Przyczep"
lblContextActionRead,"Naucz się"
lblContextActionResearch,"Odkryj"
lblContextActionScrap,"Zezłomuj"
lblContextActionWear,"Załóż"
lblLevel,"Level: {0}"
lblAcceptQuest,"Akceptuj misje"
lblCancelQuest,"Anuluj misje"
lblRemoveQuest,"Usuń misje"
lblShareQuest,"Udostępnij zadanie"
megaCrushBuffName,"Napój energetyczny"
megaCrushBuffDesc,"Zwiększ swój refleks i wytrzymałość dzięki dodatkowemu przypływowi energii!"
rangedWeaponStatsTip_title,"Statystyki broni dystansowej"
statCargo,"Ładunek"
statCarryCapacity,"Udźwig"
statDamageUndead,"Obrażenia przeciwko nieumarłym"
statResistBleed,"Odporność na krwawienia"
statResistCrit,"Odporność na infekcje, zmęczenie, zwichnięcie, ogłuszenie"
statResistInfection,"Odporność na infekcje"
statResistStun,"Oprzyj się zmęczeniu, zwichnięciu, ogłuszeniu"
statHealthChangeOT,"Leczenie /sekundę"
statHealthMaxModifierOT,"Leczenie"
statHyperthermalResist,"Odporność na ciepło"
statHypothermalResist,"Odporność na zimno"
statNoiseIncrease,"Hałas"
statPhysicalDamageResist,"Obrona fizyczna"
statPhysicalDamageResistLight,"Obrona fizyczna (Lekki pancerz)"
statPhysicalDamageResistHeavy,"Obrona fizyczna (Ciężki pancerz)"
statPlayerExpGain,"Otrzymane doświadzczenie"
statStaminaChangeOT,"Wytrzymałość /sekundę"
statStaminaDrainOT,"Wytrzymałość"
statVehicleCargoCapacity,"Ładowność pojazdu"
statVehicleCargoOverloaded,"Bagażnik przeładowany"
statVehicleLightIntensity,"Natężenie światła"
xuiActiveEffects,"Aktywne efekty"
xuiAllies,"Sojusznicy"
xuiBuyPrice,"$"
xuiCreative,"Kreatywny"
xuiCharacter,"Postać"
xuiCrafting,"Wytwarzanie"
xuiCurrentLife,"Obecne życie"
xuiCosmetics,"Kosmetyki"
xuiDeaths,"Zgony"
xuiFood,"Najedzenie"
xuiFeelsLike,"Czujesz się"
xuiGameStage,"Etap\ngry"
xuiInventory,"Ekwipunek"
xuiItemsCrafted,"Przedmioty wytworzone"
xuiJournal,"Poradnik"
xuiLongestLife,"Najdłużej"
xuiLevel,"Poziom"
xuiMap,"Mapa"
xuiModifiers,"Modifikatory"
xuiNoSellPrice," "
xuiObjectives,"Cele"
xuiOptionsDynamicMesh,"Dynamiczna siatka"
